pub_year,source,title_t1_count,title_t2_count,title_t3_count,abstract_t1_count,abstract_t2_count,abstract_t3_count,total_t1_count,total_t2_count,total_t3_count,total_papers,n_covid_removed,n_total_before_filter,title_t1_pct,title_t2_pct,title_t3_pct,abstract_t1_pct,abstract_t2_pct,abstract_t3_pct,total_t1_pct,total_t2_pct,total_t3_pct
2010,OpenAlex,2818,1266,13194,21778,7150,80103,22337,7435,82075,325017,242,325259,0.8670315706563042,0.38951808674623173,4.059479965663335,6.700572585433992,2.1998849290960165,24.645787758794153,6.8725635889814995,2.2875726500459974,25.252525252525253
2010,PubMed,1089,1517,13711,12401,7655,84639,12694,7992,87039,325099,2119,716652,0.3349748845736222,0.4666270889790495,4.217484520100031,3.814530343064728,2.35466734748492,26.03483861839009,3.9046567353329293,2.4583280785237727,26.77307527860744
2011,OpenAlex,2595,1318,13181,20665,7193,78441,21123,7488,80366,317282,213,317495,0.8178844056706652,0.4154033320516134,4.154348497551075,6.513133427045973,2.267068412327204,24.722801797769808,6.657484509048733,2.3600456376346597,25.32951759003032
2011,PubMed,1366,2036,18690,16684,10019,114189,17054,10404,117300,439771,3250,1127982,0.3106162070714076,0.4629682266452313,4.249939172887707,3.7937926784621996,2.2782311703136404,25.965559347933354,3.877927375838789,2.3657767338000917,26.672972979118676
2012,OpenAlex,3284,1566,15636,25156,9060,99549,25728,9396,101776,379565,241,379806,0.8652009537233413,0.41257755588634354,4.119452531187016,6.627586842833242,2.3869429478481945,26.2271284233267,6.778285669121232,2.4754653353180616,26.81385269980109
2012,PubMed,1398,2177,19653,17736,10912,123093,18133,11346,126465,463019,5039,1905450,0.30193145421678164,0.4701750900071055,4.2445342415753995,3.8305123547845774,2.35670674421568,26.58487016731495,3.91625397661867,2.4504393988151674,27.313134018258427
2013,OpenAlex,3824,2030,20293,30139,10749,119014,30866,11197,121982,465761,299,466060,0.8210219404372628,0.4358458522718734,4.356955605986761,6.470915340700488,2.3078359931381116,25.55259027698755,6.627003978435292,2.404022663984318,26.18982697134367
2013,PubMed,1469,2628,22009,18936,12439,137577,19323,12940,141194,498774,6406,2534350,0.2945221683568109,0.5268919390345126,4.4126197436113355,3.7965090401664883,2.4939150797756096,27.58303359838323,3.8740992914626666,2.594361374089267,28.30821173517465
2014,OpenAlex,4509,4502,23454,34331,14255,139370,35144,14763,142743,546134,337,546471,0.8256215507549428,0.8243398140383129,4.29455042169138,6.286186174089142,2.6101652707943472,25.51937802810299,6.435050738463453,2.7031827353726374,26.136992020273414
2014,PubMed,1617,2878,24167,19905,13743,148924,20361,14302,152929,528502,6957,2918185,0.30595910706108964,0.5445580149176351,4.572735770157918,3.7663055201304823,2.600368588955198,28.17851209645375,3.8525871236059652,2.706139238829749,28.93631433750487
2015,OpenAlex,4236,2232,21755,31287,11534,126703,32094,12046,129855,475348,255,475603,0.8911365988707222,0.46955072915001217,4.5766470038792635,6.581914723528867,2.426432844989355,26.65478765031093,6.751685081245739,2.534143406514806,27.31788079470199
2015,PubMed,1585,3187,24785,20480,14559,155425,20951,15099,159485,544559,7204,3182100,0.2910612073255607,0.5852442067801653,4.55138928931484,3.7608413413422603,2.6735395062793934,28.54144362686137,3.8473333467998874,2.772702315084316,29.287001041209493
2016,OpenAlex,4561,2689,25263,34859,13770,149551,35694,14306,152952,538155,268,538423,0.8475253412121042,0.4996701693749942,4.694372439167154,6.477501834973196,2.5587423697633582,27.789577352249818,6.632661593778744,2.6583419275115907,28.421551411767986
2016,PubMed,1683,3422,25920,21138,15156,162645,21551,15786,167000,564091,6767,3165369,0.29835611630038417,0.6066397088413039,4.595003288476505,3.747267728079335,2.6868005339564007,28.833113806105754,3.8204828653532847,2.7984846416624265,29.60515236016884
2017,OpenAlex,5358,3127,29598,40860,15165,168947,41783,15856,173177,625408,333,625741,0.8567207327056897,0.49999360417519445,4.732590564879247,6.533335038886615,2.424817079410561,27.013885335652887,6.6809186962750715,2.5353049529267295,27.690243808841586
2017,PubMed,1742,3725,25408,19093,14727,149760,19563,15556,154910,544889,10023,3184263,0.3196981403551916,0.6836254723439086,4.662968054044034,3.504016414352281,2.702752303680199,27.484496842476176,3.590272514218492,2.854893381954857,28.429643468669763
2018,OpenAlex,7119,4340,41153,55378,21100,237779,56639,22021,243462,842364,453,842817,0.845121586392581,0.5152166996690267,4.8854177054100125,6.574117602366673,2.504855383183517,28.227583325023385,6.723815357731337,2.6141905399565983,28.902232289129167
2018,PubMed,1901,4111,28020,20149,15969,161978,20662,16871,167739,581320,8520,3688909,0.3270143810637859,0.7071836510011698,4.820064680382577,3.4660772036055874,2.747024014312255,27.863827151998898,3.5543246404734052,2.902188123580816,28.854847588247434
2019,OpenAlex,7912,4605,46151,60980,23273,262926,62370,24106,269173,917157,556,917713,0.8626658249350984,0.5020950611509262,5.0319629027527455,6.648807128986641,2.5375153872237797,28.667501856279788,6.800362424317756,2.6283395318358798,29.348628424577257
2019,PubMed,1810,4043,30086,20482,16650,173744,20943,17538,180218,611917,65695,4216172,0.2957917495346591,0.6607105211981363,4.9166798765192015,3.3471859745684465,2.7209572540066707,28.393393221629733,3.4225229892289315,2.86607497422036,29.45137984399845
2020,OpenAlex,8404,5066,52485,67126,26007,296299,68582,26941,302897,1003305,32737,1036042,0.8376316274712076,0.5049312023761469,5.231210848146874,6.690487937367003,2.592133000433567,29.532295762504923,6.83560831452051,2.685225330283413,30.189922306776108
2020,PubMed,2034,4106,33582,22015,18155,191338,22565,19179,198478,668321,108437,4837029,0.30434476845707376,0.6143754273769642,5.024830882165905,3.2940757510238345,2.716508982958788,28.629655509852302,3.376371534038284,2.8697287680620542,29.69800440207625
2021,OpenAlex,6222,3966,42316,50971,20067,237911,52066,20810,243060,794119,41636,835755,0.7835097762426034,0.49942137135618214,5.328672403002573,6.418559435046889,2.526951250379351,29.95911192151302,6.556448089014368,2.620514053939019,30.607503409438635
