category,pub_year,source,title_t1_count,title_t2_count,title_t3_count,abstract_t1_count,abstract_t2_count,abstract_t3_count,total_t1_count,total_t2_count,total_t3_count,total_papers,title_t1_pct,title_t2_pct,title_t3_pct,abstract_t1_pct,abstract_t2_pct,abstract_t3_pct,total_t1_pct,total_t2_pct,total_t3_pct
Business & Management,2010,OpenAlex,145,106,983,1383,490,5059,1399,511,5200,17166,0.8446929977863218,0.6174997087265525,5.726435978096236,8.056623558196435,2.8544797856227424,29.47104741931725,8.149831061400443,2.976814633578003,30.292438541302573
Business & Management,2010,PubMed,3,3,15,16,10,72,16,11,74,245,1.2244897959183674,1.2244897959183674,6.122448979591836,6.530612244897959,4.081632653061225,29.38775510204082,6.530612244897959,4.489795918367347,30.20408163265306
Business & Management,2011,OpenAlex,158,93,1062,1485,448,5564,1517,468,5709,19180,0.8237747653806048,0.4848800834202294,5.537017726798749,7.742440041710115,2.335766423357664,29.009384775808133,7.909280500521376,2.440041710114703,29.765380604796665
Business & Management,2011,PubMed,0,4,14,12,10,74,12,12,75,250,0.0,1.6,5.6000000000000005,4.8,4.0,29.599999999999998,4.8,4.8,30.0
Business & Management,2012,OpenAlex,170,124,1148,1568,550,6283,1590,572,6422,21041,0.8079463903806853,0.5893256023953234,5.45601444798251,7.4521172948053795,2.6139442041728054,29.860748063304975,7.5566750629722925,2.7185019723397175,30.52136305308683
Business & Management,2012,PubMed,6,1,14,24,11,74,25,12,76,224,2.6785714285714284,0.4464285714285714,6.25,10.714285714285714,4.910714285714286,33.035714285714285,11.160714285714286,5.357142857142857,33.92857142857143
Business & Management,2013,OpenAlex,188,141,1352,1756,613,7018,1787,639,7201,23671,0.7942207764775463,0.5956655823581598,5.711630264881078,7.418360018588145,2.589666680748595,29.648092602762876,7.5493219551349755,2.6995057243040006,30.421190486248996
Business & Management,2013,PubMed,0,0,24,16,8,96,16,8,99,300,0.0,0.0,8.0,5.333333333333334,2.666666666666667,32.0,5.333333333333334,2.666666666666667,33.0
Business & Management,2014,OpenAlex,218,136,1494,1997,677,8009,2025,703,8218,26271,0.8298123406037075,0.5176810932206616,5.686879068174032,7.6015378173651555,2.5769860302234404,30.486087320619692,7.7081192189105865,2.6759544745156254,31.2816413535838
Business & Management,2014,PubMed,4,1,15,26,10,84,26,11,87,299,1.3377926421404682,0.33444816053511706,5.016722408026756,8.695652173913043,3.3444816053511706,28.093645484949832,8.695652173913043,3.678929765886288,29.09698996655518
Business & Management,2015,OpenAlex,195,157,1363,1807,700,7188,1846,728,7388,24797,0.7863854498528047,0.6331411057789249,5.496632657176272,7.287171835302658,2.822922127676735,28.987377505343385,7.444448925273218,2.9358390127838043,29.7939266846796
Business & Management,2015,PubMed,8,0,24,23,12,102,27,12,107,358,2.2346368715083798,0.0,6.70391061452514,6.424581005586592,3.35195530726257,28.49162011173184,7.5418994413407825,3.35195530726257,29.88826815642458
Business & Management,2016,OpenAlex,238,175,1624,2149,758,8772,2174,787,9006,29101,0.8178413112951446,0.6013539053640768,5.5805642417786325,7.384625957870863,2.604721487234116,30.143294044878182,7.4705336586371605,2.7043744201230195,30.94739012405072
Business & Management,2016,PubMed,1,4,22,22,16,122,22,16,126,390,0.2564102564102564,1.0256410256410255,5.641025641025641,5.641025641025641,4.102564102564102,31.28205128205128,5.641025641025641,4.102564102564102,32.30769230769231
Business & Management,2017,OpenAlex,298,230,2067,2651,1040,11503,2696,1085,11746,37105,0.8031262633068319,0.6198625522166824,5.570677806225576,7.144589677940978,2.8028567578493466,31.001212774558685,7.2658671338094605,2.924134213717828,31.656111036248486
Business & Management,2017,PubMed,1,2,17,24,14,108,24,14,112,401,0.24937655860349126,0.4987531172069825,4.239401496259352,5.985037406483791,3.4912718204488775,26.932668329177055,5.985037406483791,3.4912718204488775,27.93017456359102
Business & Management,2018,OpenAlex,435,356,3259,3943,1549,16759,4012,1602,17103,53150,0.8184383819379116,0.669802445907808,6.13170272812794,7.41862652869238,2.914393226716839,31.53151458137347,7.5484477892756345,3.0141110065851366,32.17873941674506
Business & Management,2018,PubMed,1,4,21,27,11,131,27,13,136,471,0.21231422505307856,0.8492569002123143,4.45859872611465,5.7324840764331215,2.335456475583864,27.81316348195329,5.7324840764331215,2.7600849256900215,28.874734607218684
Business & Management,2019,OpenAlex,514,338,3554,4271,1541,18030,4350,1582,18454,56385,0.9115899618692915,0.5994502083887558,6.303094794714907,7.57470958588277,2.7329963642812807,31.976589518488964,7.714817770683692,2.8057107386716327,32.7285625609648
Business & Management,2019,PubMed,6,0,13,15,4,78,16,4,81,293,2.04778156996587,0.0,4.436860068259386,5.1194539249146755,1.3651877133105803,26.621160409556317,5.460750853242321,1.3651877133105803,27.64505119453925
